CustomerID,InvoiceNo,Revenue,AOV,Customer_Value,CLV,CLV_Segment
12346,1,77183.6,77183.6,329729.4779160904,329729.4779160904,High Value
12347,7,4310.0,615.7142857142857,2630.340512415201,2630.340512415201,High Value
12348,4,1797.24,449.31,1919.458948824343,1919.458948824343,High Value
12349,1,1757.55,1757.55,7508.279529737206,7508.279529737206,High Value
12350,1,334.4,334.4,1428.56173351775,1428.56173351775,Medium Value
12352,8,2506.04,313.255,1338.2299815583217,1338.2299815583217,Medium Value
12353,1,89.0,89.0,380.20931304748734,380.20931304748734,Low Value
12354,1,1079.4,1079.4,4611.212724757953,4611.212724757953,High Value
12355,1,459.4,459.4,1962.5635776855693,1962.5635776855693,High Value
12356,3,2811.43,937.1433333333333,4003.490145996619,4003.490145996619,High Value
12357,1,6207.67,6207.67,26519.257823881973,26519.257823881973,High Value
12358,2,1168.06,584.03,2494.984776394652,2494.984776394652,High Value
12359,4,6372.58,1593.145,6805.938944213924,6805.938944213924,High Value
12360,3,2662.06,887.3533333333334,3790.7865314276933,3790.7865314276933,High Value
12361,1,189.9,189.9,811.255601659751,811.255601659751,Low Value
12362,10,5226.23,522.6229999999999,2232.6531664361455,2232.6531664361455,High Value
12363,2,552.0,276.0,1179.076071922545,1179.076071922545,Medium Value
12364,4,1313.1,328.275,1402.3956431535269,1402.3956431535269,Medium Value
12365,2,641.38,320.69,1369.9924112494236,1369.9924112494236,Medium Value
12367,1,168.9,168.9,721.5432918395574,721.5432918395574,Low Value
12370,4,3545.69,886.4225,3786.80999769479,3786.80999769479,High Value
12371,2,1887.96,943.98,4032.6964868603045,4032.6964868603045,High Value
12372,3,1298.04,432.68,1848.4153434762563,1848.4153434762563,High Value
12373,1,364.6,364.6,1557.5765790686953,1557.5765790686953,Medium Value
12374,1,742.93,742.93,3173.8079207007836,3173.8079207007836,High Value
12375,2,457.5,228.75,977.2233748271093,977.2233748271093,Medium Value
12377,2,1628.12,814.06,3477.676330106039,3477.676330106039,High Value
12378,1,4008.62,4008.62,17124.883780544027,17124.883780544027,High Value
12379,2,852.24,426.12,1820.3909266943292,1820.3909266943292,High Value
12380,4,2724.81,681.2025,2910.107130013831,2910.107130013831,High Value
12381,5,1845.31,369.062,1576.6383088981097,1576.6383088981097,Medium Value
12383,5,1850.56,370.11199999999997,1581.1239243891193,1581.1239243891193,Medium Value
12384,2,585.27,292.635,1250.1410373443982,1250.1410373443982,Medium Value
12386,2,401.9,200.95,858.4613646841862,858.4613646841862,Low Value
12388,6,2780.66,463.4433333333333,1979.8367573382511,1979.8367573382511,High Value
12390,1,549.84,549.84,2348.92459197787,2348.92459197787,High Value
12391,1,460.89,460.89,1968.9288796680496,1968.9288796680496,High Value
12393,4,1582.6,395.65,1690.2226371599813,1690.2226371599813,High Value
12394,2,1272.48,636.24,2718.0266666666666,2718.0266666666666,High Value
12395,12,3018.63,251.5525,1074.6359912402029,1074.6359912402029,Medium Value
12397,2,2409.9,1204.95,5147.564177040111,5147.564177040111,High Value
12398,1,1635.6599999999999,1635.6599999999999,6987.563651452281,6987.563651452281,High Value
12399,4,1108.65,277.1625,1184.0422890733057,1184.0422890733057,Medium Value
12401,1,84.3,84.3,360.1308437067773,360.1308437067773,Low Value
12402,1,225.6,225.6,963.7665283540802,963.7665283540802,Medium Value
12403,1,427.7,427.7,1827.1407100046104,1827.1407100046104,High Value
12405,1,1710.3899999999999,1710.3899999999999,7306.811313969571,7306.811313969571,High Value
12406,2,3415.2999999999997,1707.6499999999999,7295.105993545412,7295.105993545412,High Value
12407,5,1708.12,341.62399999999997,1459.4227680958966,1459.4227680958966,Medium Value
12408,5,2888.55,577.71,2467.9856431535272,2467.9856431535272,High Value
12409,3,11072.67,3690.89,15767.5365329645,15767.5365329645,High Value
12410,2,693.33,346.665,1480.9579944674965,1480.9579944674965,Medium Value
12412,3,1226.8799999999999,408.96,1747.0831535269708,1747.0831535269708,High Value
12413,3,758.1,252.70000000000002,1079.5381281696634,1079.5381281696634,Medium Value
12414,3,562.41,187.47,800.8746058091286,800.8746058091286,Low Value
12415,21,124914.53,5948.310952380953,25411.272146040526,25411.272146040526,High Value
12417,9,3649.1,405.4555555555555,1732.1121151580348,1732.1121151580348,High Value
12418,1,668.58,668.58,2856.183623789765,2856.183623789765,High Value
12420,1,600.39,600.39,2564.874937759336,2564.874937759336,High Value
12421,4,807.04,201.76,861.9216966343937,861.9216966343937,Low Value
12422,3,803.56,267.8533333333333,1144.2733917319808,1144.2733917319808,Medium Value
12423,8,1859.31,232.41375,992.874968879668,992.874968879668,Medium Value
12424,2,1760.96,880.48,3761.423550023052,3761.423550023052,High Value
12425,1,777.2,777.2,3320.2098662978333,3320.2098662978333,High Value
12426,1,582.73,582.73,2489.4311572153065,2489.4311572153065,High Value
12427,3,825.8000000000001,275.2666666666667,1175.9432611034272,1175.9432611034272,Medium Value
12428,9,7956.46,884.0511111111111,3776.6793893755444,3776.6793893755444,High Value
12429,4,3750.4,937.6,4005.441032733979,4005.441032733979,High Value
12430,1,256.4,256.4,1095.3445827570308,1095.3445827570308,Medium Value
12431,15,6487.45,432.49666666666667,1847.6321407714768,1847.6321407714768,High Value
12432,5,5059.32,1011.8639999999999,4322.69793637621,4322.69793637621,High Value
12433,7,13375.87,1910.8385714285716,8163.130568398868,8163.130568398868,High Value
12434,2,806.14,403.07,1721.9209866297833,1721.9209866297833,High Value
12435,2,7829.889999999999,3914.9449999999997,16724.702798524664,16724.702798524664,High Value
12436,1,509.01,509.01,2174.4982295988934,2174.4982295988934,High Value
12437,18,4951.41,275.0783333333333,1175.1386983248808,1175.1386983248808,Medium Value
12438,2,2906.85,1453.425,6209.053042876902,6209.053042876902,High Value
12441,1,173.55,173.55,741.4081604426003,741.4081604426003,Low Value
12442,1,172.06,172.06,735.0428584601199,735.0428584601199,Low Value
12444,5,5005.46,1001.092,4276.679793453204,4276.679793453204,High Value
12445,1,133.4,133.4,569.8867680958967,569.8867680958967,Low Value
12446,1,1002.31,1002.31,4281.8831074227755,4281.8831074227755,High Value
12447,1,476.49,476.49,2035.5723098201936,2035.5723098201936,High Value
12448,1,449.45,449.45,1920.057030889811,1920.057030889811,High Value
12449,4,4067.29,1016.8225,4343.880721530659,4343.880721530659,High Value
12450,2,197.88,98.94,422.6731396957123,422.6731396957123,Low Value
12451,5,9035.52,1807.104,7719.974948824343,7719.974948824343,High Value
12452,2,430.57,215.285,919.7006961733517,919.7006961733517,Medium Value
12453,1,707.09,707.09,3020.698911940987,3020.698911940987,High Value
12454,1,3528.34,3528.34,15073.120534808668,15073.120534808668,High Value
12455,6,2466.86,411.1433333333334,1756.4103857384357,1756.4103857384357,High Value
12456,3,3181.04,1060.3466666666666,4529.816603657599,4529.816603657599,High Value
12457,7,2363.23,337.6042857142857,1442.2504893631035,1442.2504893631035,Medium Value
12458,2,947.4,473.7,2023.653388658368,2023.653388658368,High Value
12461,2,826.88,413.44,1766.2217796219456,1766.2217796219456,High Value
12462,2,1189.59,594.795,2540.9730152143843,2540.9730152143843,High Value
12463,4,1344.78,336.195,1436.23,1436.23,Medium Value
12464,8,1212.05,151.50625,647.2369352236053,647.2369352236053,Low Value
12465,2,742.1899999999999,371.09499999999997,1585.323314891655,1585.323314891655,High Value
12468,2,729.54,364.77,1558.3028215767633,1558.3028215767633,Medium Value
12471,30,19824.05,660.8016666666666,2822.9544690333482,2822.9544690333482,High Value
12472,7,6572.11,938.8728571428571,4010.878697227162,4010.878697227162,High Value
12473,5,3938.55,787.71,3365.1087413554633,3365.1087413554633,High Value
12474,18,7375.79,409.7661111111111,1750.526872086471,1750.526872086471,High Value
12475,1,723.38,723.38,3090.290032272937,3090.290032272937,High Value
12476,11,6816.42,619.6745454545454,2647.258800452659,2647.258800452659,High Value
12477,6,13219.74,2203.29,9412.487385892116,9412.487385892116,High Value
12478,1,680.99,680.99,2909.199326878746,2909.199326878746,High Value
12479,1,527.2,527.2,2252.2061779621945,2252.2061779621945,High Value
12480,4,3281.63,820.4075,3504.7929437528815,3504.7929437528815,High Value
12481,10,5596.32,559.632,2390.7561604426,2390.7561604426,High Value
12483,8,2484.98,310.6225,1326.9839027201476,1326.9839027201476,Medium Value
12484,6,4541.72,756.9533333333334,3233.715807591824,3233.715807591824,High Value
12488,3,1298.66,432.8866666666667,1849.2982265252806,1849.2982265252806,High Value
12489,1,334.93,334.93,1430.8259013370216,1430.8259013370216,Medium Value
12490,10,5417.93,541.793,2314.5476892577226,2314.5476892577226,High Value
12491,1,460.4,460.4,1966.8355924389118,1966.8355924389118,High Value
12492,2,263.21,131.605,562.2185016136468,562.2185016136468,Low Value
12493,2,433.74,216.87,926.4718395573997,926.4718395573997,Medium Value
12494,7,1246.1,178.0142857142857,760.4796548771652,760.4796548771652,Low Value
12497,1,1043.1,1043.1,4456.138589211618,4456.138589211618,High Value
12498,3,403.7,134.56666666666666,574.8707853081297,574.8707853081297,Low Value
12500,11,4257.82,387.07454545454544,1653.5881688251811,1653.5881688251811,High Value
12501,1,2169.39,2169.39,9267.666085753803,9267.666085753803,High Value
12502,5,3723.87,744.774,3181.6855159059473,3181.6855159059473,High Value
12504,2,482.05,241.025,1029.6623559243892,1029.6623559243892,Medium Value
12506,1,73.5,73.5,313.9930843706777,313.9930843706777,Low Value
12507,3,1304.81,434.93666666666667,1858.0558567696328,1858.0558567696328,High Value
12508,2,398.27,199.135,850.7076579068695,850.7076579068695,Low Value
12509,1,176.5,176.5,754.0106039649608,754.0106039649608,Low Value
12510,2,982.57,491.285,2098.776768095897,2098.776768095897,High Value
12512,2,138.03,69.015,294.83309820193637,294.83309820193637,Low Value
12513,1,612.29,612.29,2615.711913324112,2615.711913324112,High Value
12514,1,1017.6800000000001,1017.6800000000001,4347.543974181651,4347.543974181651,High Value
12515,1,383.7,383.7,1639.1720608575379,1639.1720608575379,High Value
12516,2,1312.06,656.03,2802.5698386353156,2802.5698386353156,High Value
12517,5,2502.84,500.56800000000004,2138.433881051176,2138.433881051176,High Value
12518,5,2056.89,411.378,1757.412885200553,1757.412885200553,High Value
12519,1,340.84,340.84,1456.073508529276,1456.073508529276,Medium Value
12520,5,2634.2599999999998,526.852,2250.7195168280314,2250.7195168280314,High Value
12521,1,599.68,599.68,2561.8418072844624,2561.8418072844624,High Value
12522,2,192.72,96.36,411.65134163208853,411.65134163208853,Low Value
12523,11,1789.77,162.70636363636365,695.0839859172639,695.0839859172639,Low Value
12524,8,4485.72,560.715,2395.3827524204703,2395.3827524204703,High Value
12526,3,1316.66,438.8866666666667,1874.9303150453359,1874.9303150453359,High Value
12527,3,348.71,116.23666666666666,496.5647548793607,496.5647548793607,Low Value
12528,6,1933.48,322.24666666666667,1376.6425142154603,1376.6425142154603,Medium Value
12530,4,1662.28,415.57,1775.3211710465653,1775.3211710465653,High Value
12531,1,125.22,125.22,534.9416874135546,534.9416874135546,Low Value
12532,1,349.83,349.83,1494.4789211618256,1494.4789211618256,Medium Value
12534,1,1089.18,1089.18,4652.993029045643,4652.993029045643,High Value
12535,2,716.35,358.175,1530.1288842784693,1530.1288842784693,Medium Value
12536,3,12601.830000000002,4200.610000000001,17945.067893038267,17945.067893038267,High Value
12538,1,363.95,363.95,1554.7997694790224,1554.7997694790224,Medium Value
12539,4,5568.35,1392.0875,5947.018337943753,5947.018337943753,High Value
12540,17,13400.24,788.2494117647059,3367.4131163724132,3367.4131163724132,High Value
12541,3,981.18,327.06,1397.2051452282158,1397.2051452282158,Medium Value
12544,1,372.7,372.7,1592.1798985707699,1592.1798985707699,High Value
12545,2,1000.39,500.195,2136.840419548179,2136.840419548179,High Value
12546,2,1161.5,580.75,2480.972568003688,2480.972568003688,High Value
12547,2,207.8,103.9,443.8623328722914,443.8623328722914,Low Value
12548,1,95.19999999999999,95.19999999999999,406.6958045182111,406.6958045182111,Low Value
12550,1,964.83,964.83,4121.7679944674965,4121.7679944674965,High Value
12551,1,168.0,168.0,717.6984785615491,717.6984785615491,Low Value
12552,2,437.82,218.91,935.1867496542185,935.1867496542185,Medium Value
12553,10,3692.28,369.228,1577.3474633471646,1577.3474633471646,Medium Value
12556,2,603.71,301.855,1289.5290133702167,1289.5290133702167,Medium Value
12557,5,11990.960000000001,2398.192,10245.111605348087,10245.111605348087,High Value
12558,1,269.96,269.96,1153.2731028123558,1153.2731028123558,Medium Value
12559,2,561.71,280.855,1199.816703550023,1199.816703550023,Medium Value
12560,3,2134.0099999999998,711.3366666666666,3038.8407345935143,3038.8407345935143,High Value
12561,1,238.85,238.85,1020.3707238358691,1020.3707238358691,Medium Value
12562,7,3781.7400000000002,540.2485714285715,2307.949867615096,2307.949867615096,High Value
12564,1,456.9,456.9,1951.8835408022128,1951.8835408022128,High Value
12565,1,145.92,145.92,623.3723928077454,623.3723928077454,Low Value
12566,1,351.65,351.65,1502.253988012909,1502.253988012909,Medium Value
12567,10,9401.28,940.128,4016.240686030429,4016.240686030429,High Value
12569,32,4124.69,128.8965625,550.6480166551405,550.6480166551405,Low Value
12571,2,519.61,259.805,1109.8907929921622,1109.8907929921622,Medium Value
12572,2,1020.42,510.21,2179.6246473029046,2179.6246473029046,High Value
12573,1,160.54,160.54,685.8292485016136,685.8292485016136,Low Value
12574,1,218.45,218.45,933.2216228676809,933.2216228676809,Medium Value
12576,5,1315.83,263.166,1124.2490345781466,1124.2490345781466,Medium Value
